id,owner,kind,score,review_result,round,max_rounds,path,review
capabilities-live-with-their-owners,root,rollup,94,PASS,2,5,.cartridge/prds/capabilities-live-with-their-owners/prd.md,.cartridge/prds/capabilities-live-with-their-owners/review.md
memory-document-works-end-to-end,root,leaf,94,PASS,2,5,.cartridge/prds/memory-document-works-end-to-end/prd.md,.cartridge/prds/memory-document-works-end-to-end/review.md
the-composed-system-proves-the-plan,root,milestone,94,PASS,2,5,.cartridge/prds/the-composed-system-proves-the-plan/prd.md,.cartridge/prds/the-composed-system-proves-the-plan/review.md
@memo/memo-board-template,memo,rollup,94,PASS,2,5,memo.ctg/.cartridge/prds/memo-board-template/prd.md,memo.ctg/.cartridge/prds/memo-board-template/review.md
@memo/one-document-serves-every-reader,memo,rollup,94,PASS,2,5,memo.ctg/.cartridge/prds/one-document-serves-every-reader/prd.md,memo.ctg/.cartridge/prds/one-document-serves-every-reader/review.md
@landscape/landscape-composes-system-context,landscape,rollup,94,PASS,2,5,landscape.ctg/.cartridge/prds/landscape-composes-system-context/prd.md,landscape.ctg/.cartridge/prds/landscape-composes-system-context/review.md
@landscape/context-quality-is-measured,landscape,rollup,94,PASS,2,5,landscape.ctg/.cartridge/prds/context-quality-is-measured/prd.md,landscape.ctg/.cartridge/prds/context-quality-is-measured/review.md
@landscape/recursive-development-graph,landscape,rollup,94,PASS,2,5,landscape.ctg/.cartridge/prds/recursive-development-graph/prd.md,landscape.ctg/.cartridge/prds/recursive-development-graph/review.md
@runtime/one-runner-executes-documents,runtime,rollup,94,PASS,2,5,cartridge.ctg/.cartridge/prds/one-runner-executes-documents/prd.md,cartridge.ctg/.cartridge/prds/one-runner-executes-documents/review.md
@runtime/documents-own-live-processes,runtime,rollup,94,PASS,2,5,cartridge.ctg/.cartridge/prds/documents-own-live-processes/prd.md,cartridge.ctg/.cartridge/prds/documents-own-live-processes/review.md
@gitfs/tool-results-interoperate,gitfs,leaf,94,PASS,2,5,gitfs.ctg/.cartridge/prds/tool-results-interoperate/prd.md,gitfs.ctg/.cartridge/prds/tool-results-interoperate/review.md
@memory/memory-owns-its-tool,memory,rollup,94,PASS,2,5,memory.ctg/.cartridge/prds/memory-owns-its-tool/prd.md,memory.ctg/.cartridge/prds/memory-owns-its-tool/review.md
@harness/harness-consumes-landscape,harness,leaf,94,PASS,2,5,harness.ctg/.cartridge/prds/harness-consumes-landscape/prd.md,harness.ctg/.cartridge/prds/harness-consumes-landscape/review.md
@mcp/clients-share-document-execution,mcp,rollup,94,PASS,2,5,mcp.ctg/.cartridge/prds/clients-share-document-execution/prd.md,mcp.ctg/.cartridge/prds/clients-share-document-execution/review.md
@tools/development-tooling-has-one-home,tools,rollup,94,PASS,2,5,tools.ctg/.cartridge/prds/development-tooling-has-one-home/prd.md,tools.ctg/.cartridge/prds/development-tooling-has-one-home/review.md
@ui/human-context-is-the-same-document,ui,leaf,94,PASS,2,5,ui.ctg/.cartridge/prds/human-context-is-the-same-document/prd.md,ui.ctg/.cartridge/prds/human-context-is-the-same-document/review.md
@runtime/the-sandbox,runtime,rollup,94,PASS,2,5,cartridge.ctg/.cartridge/prds/the-sandbox/prd.md,cartridge.ctg/.cartridge/prds/the-sandbox/review.md
@runtime/launch-authority,runtime,leaf,93,PASS,2,5,cartridge.ctg/.cartridge/prds/launch-authority/prd.md,cartridge.ctg/.cartridge/prds/launch-authority/review.md
@runtime/linux-policy,runtime,leaf,86,FAIL,2,5,cartridge.ctg/.cartridge/prds/linux-policy/prd.md,cartridge.ctg/.cartridge/prds/linux-policy/review.md
@runtime/macos-policy,runtime,leaf,93,PASS,2,5,cartridge.ctg/.cartridge/prds/macos-policy/prd.md,cartridge.ctg/.cartridge/prds/macos-policy/review.md
@agent/improve-agent-decision-attribution,agent,leaf,94,PASS,2,5,agent.ctg/.cartridge/prds/improve-agent-decision-attribution/prd.md,agent.ctg/.cartridge/prds/improve-agent-decision-attribution/review.md
@agent/improve-agent-resume-boundaries,agent,leaf,94,PASS,2,5,agent.ctg/.cartridge/prds/improve-agent-resume-boundaries/prd.md,agent.ctg/.cartridge/prds/improve-agent-resume-boundaries/review.md
@agent/improve-agent-task-baseline,agent,leaf,94,PASS,2,5,agent.ctg/.cartridge/prds/improve-agent-task-baseline/prd.md,agent.ctg/.cartridge/prds/improve-agent-task-baseline/review.md
@fs/improve-fs-change-provenance,fs,leaf,94,PASS,2,5,fs.ctg/.cartridge/prds/improve-fs-change-provenance/prd.md,fs.ctg/.cartridge/prds/improve-fs-change-provenance/review.md
@fs/improve-fs-revision-guards,fs,leaf,94,PASS,2,5,fs.ctg/.cartridge/prds/improve-fs-revision-guards/prd.md,fs.ctg/.cartridge/prds/improve-fs-revision-guards/review.md
